title,genre,classification,duration,synopsis,url
Crónicas Mutantes,Sci-Fi & Fantasy,TV-MA,1hr 51 min,"En el siglo XXIII, el mayor Mitch Hunter (Jane) lidera una lucha contra un ejército de necromutantes que habitan en el mundo subterráneo.",https://pluto.tv/on-demand/movies/608ab54b34651500131a685a/details
Secuestro Extraterrestre,Thriller,PG-13,1hr 30 min,"La familia McPherson está reunida para la tradicional cena de Acción de Gracias, pero nunca se imaginaron que tendrían unos visitantes extraterrestres. Esta es la historia de una familia desaparecida.",https://pluto.tv/on-demand/movies/627be950c51411001346d6c6/details
Código Oculto,Sci-Fi & Fantasy,TV-MA,1hr 46 min,"Branded nos introduce en un mundo donde las corporaciones, activando un código genético en el ser humano han desencadenado una conspiración mundial para poder controlar sus mentes, manteniéndolos así en un estado de dependencia.",https://pluto.tv/on-demand/movies/60895f706b9d17001ac3ce19/details
La rebelión de los muertos vivientes,Sci-Fi & Fantasy,R,1hr 31 min,Un misterioso virus ha diezmado la población y ha convertido a miles en zombies. El gobierno desarrolla un videojuego llamado Dead Trigger y quienes maten más zombies en el juego serán reclutados para combatir a los muertos vivientes.,https://pluto.tv/on-demand/movies/62c87372bcc69800132920e0/details
Seeds Of Destruction,Sci-Fi & Fantasy,TV-PG,1hr 30 min,Los militantes ecologistas Kate y Joe son testigos y graban en vídeo el rápido crecimiento de un sistema de raíces gigantescas que puede provocar un fuerte terremoto en todo el país.,https://pluto.tv/on-demand/movies/603e621d049634001a5f33a8/details
Autodestrucción,Sci-Fi & Fantasy,R,1hr 31 min,"Autodestrucción es una versión de un mundo futuro, como si fuera un videojuego, y que a través de una serie de experimentos consiguen energía ilimitada de los universos paralelos. Todo parecer ir bien cuando algo del experimento sale mal.",https://pluto.tv/on-demand/movies/5f7b86cbe4b56900138b739f/details
Hotel de Dinosaurios,Thriller,TV-14,1hr 17 min,"Una mujer, desesperada por dinero, acepta participar en un programa clandestino de juegos, solo para descubrir que ella y los demás concursantes están siendo cazados por criaturas prehistóricas.",https://pluto.tv/on-demand/movies/627c0d5055812e0013ede657/details
Super Cyclone,Action & Adventure,N/A,1hr 29 min,"Cuando un súper ciclón amenaza a toda la costa este de Estados Unidos, un meteorólogo solitario y un ingeniero petrolero deben luchar contra los elementos para detener la amenaza.",https://pluto.tv/on-demand/movies/5dc93151045f36ab79e54d47/details
La Invasión,Sci-Fi & Fantasy,R,1hr 59 min,"Algunos residentes de la ciudad tienen que unirse después de una devastadora invasión alienígena. Mientras luchan por sobrevivir, se dan cuenta de que deben ir un paso por delante de sus atacantes.",https://pluto.tv/on-demand/movies/65d4aac68cea3c0013b6fb3f/details
Atlantic Rim,Sci-Fi & Fantasy,N/A,1hr 25 min,"Cuando los monstruos gigantes se arrastran fuera del Océano Atlántico y atacan la costa este, el gobierno de los EE. UU. se ve obligado a confiar en robots mecánicos experimentales, pilotados por aviadores sin experiencia.",https://pluto.tv/on-demand/movies/5e5052ab4123ebc6e2694d1d/details
Cypher,Sci-Fi & Fantasy,TV-14,1hr 35 min,"Un hombre confiado y desencantado se encuentra trabajando como espía en el peligroso y arriesgado mundo del espionaje corporativo. Rápidamente superándose, se une a una misteriosa mujer fatal.",https://pluto.tv/on-demand/movies/641c7e9b4f1ca3001a87aeaf/details
10.0 Earthquake,Action & Adventure,TV-14,1hr 27 min,"Mientras una serie de terremotos comienzan a destrozar Los Ángeles, Emily y Jason corren por la ciudad en ruinas con la esperanza de desviar el epicentro para salvar millones de vidas.",https://pluto.tv/on-demand/movies/612511bed24f5e00135e9db2/details
